東,toŋ
菄,toŋ
鶇,toŋ
䍶,toŋ/drin/tòŋ
𠍀,toŋ
倲,toŋ
𩜍,toŋ
𢘐,toŋ
涷,toŋ/tòŋ
蝀,toŋ/tóŋ
凍,toŋ/tòŋ
鯟,toŋ
𢔅,toŋ
崠,toŋ
埬,toŋ
𧓕,toŋ
䰤,toŋ
同,doŋ
仝,doŋ/dzyen
童,doŋ
僮,doŋ
銅,doŋ
桐,doŋ
峒,doŋ/dòŋ
硐,doŋ/dóŋ
𦨴,doŋ
𧱁,doŋ
筒,doŋ/dòŋ
瞳,doŋ
㼧,doŋ
𤭁,doŋ
罿,doŋ/thyoŋ
犝,doŋ
筩,doŋ
潼,doŋ/thyoŋ
曈,doŋ/thoŋ/thóŋ
洞,doŋ/dòŋ
侗,doŋ/thoŋ/thóŋ
橦,doŋ/tyoŋ/droŋ
烔,doŋ
䴀,doŋ
挏,doŋ/dóŋ
酮,doŋ/dóŋ
鮦,doŋ/dryóŋ/dryú
㼿,doŋ/tyòŋ
𦏆,doŋ
𦍻,doŋ
眮,doŋ/dóŋ/dòŋ
蕫,doŋ/tóŋ
穜,doŋ/dryoŋ
衕,doŋ/dòŋ
𩍅,doŋ
𢈉,doŋ
䆚,doŋ
哃,doŋ
𢏕,doŋ
絧,doŋ/dòŋ
𨚯,doŋ
𨝯,doŋ
𪔝,doŋ
𩦶,doŋ/duŋ
𪒿,doŋ
中,tryuŋ/tryùŋ
衷,tryuŋ/tryùŋ
忠,tryuŋ
𦬕,tryuŋ/dryuŋ
蟲,dryuŋ/dryùŋ
沖,dryuŋ
种,dryuŋ
盅,dryuŋ/thryuŋ
爞,dryuŋ/duŋ
翀,dryuŋ
終,tyuŋ
衆,tyuŋ/tyùŋ
潨,tyuŋ/dzoŋ/dzuŋ
𣧩,tyuŋ
螽,tyuŋ
𧑄,tyuŋ
鼨,tyuŋ
蔠,tyuŋ
柊,tyuŋ
𩅧,tyuŋ
䶱,tyuŋ/duŋ
鴤,tyuŋ
䈺,tyuŋ
泈,tyuŋ
䝦,tyuŋ
忡,thryuŋ
浺,thryuŋ
崇,dzryuŋ
崈,dzryuŋ
㓽,dzryuŋ/dzryùŋ
𩞉,dzryuŋ
嵩,syuŋ
崧,syuŋ
𪀚,syuŋ
娀,syuŋ
菘,syuŋ
硹,syuŋ
㣝,syuŋ
𧊕,syuŋ
𨱿,syuŋ
戎,nyuŋ
𢦦,nyuŋ
茙,nyuŋ
㭜,nyuŋ
駥,nyuŋ
𥬪,nyuŋ
𠈋,nyuŋ
狨,nyuŋ
絨,nyuŋ
弓,kyuŋ
躳,kyuŋ
躬,kyuŋ
㴦,kyuŋ
宮,kyuŋ
匑,kyuŋ/khyuŋ
融,jyuŋ
肜,jyuŋ
瀜,jyuŋ
雄,ghyuŋ
熊,ghyuŋ
瞢,myuŋ/məŋ/myùŋ
夢,myuŋ/myùŋ
𨞯,myuŋ
懜,myuŋ/moŋ/mə̀ŋ
